Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Caterpillar,28-Jan-2025,15:48:06,1,,,,0,4,,,,,,,,,,,,,,,15,16,6689,,,,26,354,,,,29,17515,,,,18,9378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,29-Jan-2025,06:06:41,1,,,,0,5,,,,,,,,,,,,,,,15,15,6281,,,,13,4044,,,,30,26868,,,,5,6425,,,,14,31758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,29-Jan-2025,11:18:13,2,,,,0,4,,,,,,,,,,,,,,,15,28,3561,,,,32,151,,,,12,14360,,,,25,18084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,30-Jan-2025,07:02:20,1,,,,0,4,,,,,,,,,,,,,,,15,5,21718,,,,22,18740,,,,13,21472,,,,14,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,30-Jan-2025,13:10:09,1,,,,0,5,,,,,,,,,,,,,,,15,25,20713,,,,28,32643,,,,12,1692,,,,31,4928,,,,29,20494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,30-Jan-2025,17:14:59,1,,,,0,6,,,,,,,,,,,,,,,15,27,16731,,,,16,2837,,,,7,20732,,,,18,1478,,,,8,23118,,,,23,13277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,30-Jan-2025,18:00:02,1,,,,0,6,,,,,,,,,,,,,,,15,23,32200,,,,10,7188,,,,27,12728,,,,16,15970,,,,8,30852,,,,26,20751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,30-Jan-2025,19:58:01,1,,,,0,4,,,,,,,,,,,,,,,15,10,5902,,,,27,25081,,,,8,16003,,,,32,18830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,30-Jan-2025,22:17:17,2,,,,0,6,,,,,,,,,,,,,,,15,14,25280,,,,3,32148,,,,1,22483,,,,22,20588,,,,2,15742,,,,21,12403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,31-Jan-2025,10:09:19,1,,,,0,4,,,,,,,,,,,,,,,15,24,17234,,,,12,7802,,,,32,32343,,,,25,17095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,31-Jan-2025,15:40:19,2,,,,0,4,,,,,,,,,,,,,,,15,16,31356,,,,26,13094,,,,18,25233,,,,27,21217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
